SATIS1,SATIS2,SATIS3,SATIS4,SATIS5,SATIS6,SATIS7,SATIS8,SATIS9,SATIS10,SATIS11,SATIS12,SuWB1,SuWB2,SuWB3,SuWB4,SuWB5,SuWB6,SuWB7,Leeftijd,Geslacht,Werk,Opleiding,SNSaccount
5,1,5,5,1,4,1,4,1,4,4,3,3,2,5,5,2,3,5,25,2,3,5,2
5,3,5,4,3,5,3,4,2,4,4,4,6,2,5,3,2,3,2,23,2,3,5,2
4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,3,3,4,23,2,3,5,2
1,1,1,1,1,1,1,7,1,1,1,1,2,1,6,3,2,2,4,23,2,3,4,1
2,1,1,2,1,1,1,7,1,1,1,1,4,2,6,4,1,3,4,56,2,2,1,2
4,1,3,1,1,1,1,7,1,1,3,1,5,3,3,4,3,3,5,24,1,2,4,2
4,3,5,4,1,5,3,4,2,4,1,4,5,3,7,6,4,2,5,23,2,1,4,2
6,1,7,7,1,5,1,7,1,1,7,1,2,1,3,7,1,1,7,23,2,3,5,1
4,4,4,4,4,4,4,4,4,4,4,4,4,1,7,7,1,1,7,34,1,3,5,2
2,5,2,3,3,3,2,5,2,2,3,4,7,5,7,1,5,6,2,28,NA,3,5,2
1,1,1,1,1,1,1,7,1,1,1,1,7,4,6,5,4,4,2,21,2,3,5,2
4,1,6,4,1,6,1,4,1,4,4,1,4,1,7,5,4,2,4,23,2,3,5,2
4,5,4,5,5,6,1,4,1,4,4,3,4,2,6,3,2,3,2,25,2,3,4,2
5,6,6,4,6,6,6,1,5,5,5,6,6,7,5,7,6,7,7,25,1,1,4,2
5,3,6,5,2,4,2,4,2,2,4,2,5,3,7,5,2,2,5,23,2,3,5,2
5,4,6,6,4,5,4,4,4,4,4,4,2,1,6,4,3,2,5,25,1,3,5,2
6,2,6,6,2,3,1,4,1,4,4,2,3,1,7,4,2,5,2,22,2,3,5,2
4,5,4,4,1,1,4,4,3,5,4,1,7,4,7,4,3,4,4,21,2,3,4,2
6,2,5,6,4,5,1,6,2,2,7,6,6,1,7,5,2,1,6,25,2,3,5,1
3,5,5,4,4,5,4,4,4,4,3,4,6,2,7,4,5,2,4,23,2,3,5,2
6,2,4,5,1,2,1,4,1,1,3,3,6,2,3,4,2,2,4,21,2,3,5,1
4,2,5,5,2,5,1,3,1,1,4,2,1,5,7,4,2,2,5,28,2,3,5,2
5,3,4,5,2,5,1,5,2,1,5,4,4,2,4,4,2,3,4,22,2,3,4,2
4,2,5,4,2,3,1,4,3,4,4,4,2,2,6,3,3,4,5,23,2,3,5,2
4,4,2,2,2,1,3,6,4,4,1,5,5,3,6,4,5,4,3,25,2,3,5,2
5,3,4,5,3,5,3,5,3,4,4,3,3,3,5,4,3,4,4,20,2,1,4,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,22,2,3,5,2
4,4,5,4,3,4,2,3,2,2,4,5,5,4,5,6,4,3,3,52,2,2,4,2
4,3,5,4,3,3,3,5,3,3,4,3,4,3,5,4,3,3,4,22,2,2,4,2
4,4,3,3,1,4,4,4,1,1,1,1,7,7,7,4,7,7,4,54,1,1,4,2
4,3,3,3,3,4,3,5,4,4,3,3,3,3,5,4,3,4,4,23,2,3,5,2
7,1,6,6,1,7,1,2,1,1,6,1,2,1,7,5,1,1,6,22,2,3,5,2
3,4,5,5,3,4,3,4,2,2,4,4,3,5,4,5,4,4,5,24,1,2,4,2
6,1,5,6,1,5,1,4,1,1,2,6,5,1,7,5,2,1,6,22,2,3,4,2
5,1,5,5,1,5,1,4,1,1,3,4,6,1,7,6,2,1,6,22,1,3,4,2
7,1,7,7,1,7,1,4,1,2,4,4,1,1,7,5,2,1,5,24,2,3,5,2
4,4,7,7,4,4,4,1,4,4,4,4,3,1,7,6,1,1,6,28,1,1,5,2
3,4,5,6,4,5,4,3,4,4,3,5,4,3,7,4,2,3,4,22,2,3,5,2
5,2,6,5,1,5,1,4,1,4,4,2,3,1,7,5,1,3,5,24,2,3,5,2
3,3,5,4,3,5,2,5,5,3,3,2,6,4,5,3,4,4,5,23,1,1,4,2
5,1,6,6,1,6,1,2,1,1,4,2,3,2,7,5,4,2,5,24,1,3,5,2
4,3,5,5,1,5,1,4,4,4,1,5,3,2,6,3,4,4,4,23,2,3,4,2
4,2,6,4,1,4,1,4,2,4,2,2,3,3,7,5,2,3,6,23,2,3,5,2
4,2,6,4,2,6,5,4,4,2,4,5,4,2,6,3,2,2,3,19,2,3,4,2
5,4,6,4,3,6,4,5,4,2,2,6,4,2,5,3,2,3,2,22,2,3,5,2
6,1,6,4,1,3,1,3,1,4,4,4,3,4,6,3,3,3,3,55,2,2,1,2
2,4,5,5,4,5,4,3,2,4,4,4,3,3,7,6,4,4,3,55,1,1,4,2
4,2,6,6,3,6,3,4,4,4,4,4,3,4,6,4,4,3,4,24,2,3,5,2
4,1,5,4,1,6,1,4,1,2,4,1,3,1,7,5,4,2,5,21,2,3,5,2
4,4,4,4,4,4,4,4,4,4,4,4,7,4,7,5,4,7,4,38,2,1,4,2
5,3,5,5,3,5,3,3,3,3,4,3,3,2,5,5,2,2,5,61,2,2,5,2
4,2,4,4,1,4,1,4,2,4,4,3,5,4,5,4,3,4,5,23,2,3,5,2
1,1,1,1,1,1,1,7,1,1,1,1,4,4,4,4,4,4,4,24,2,3,5,2
3,2,3,2,2,2,2,6,2,2,2,2,4,4,6,4,3,4,5,21,2,2,5,2
3,3,4,3,2,3,2,4,2,3,3,4,4,2,7,4,3,4,5,23,2,3,5,2
4,2,5,5,3,5,1,3,2,1,4,4,3,3,6,5,4,3,5,23,2,3,5,2
4,3,5,4,2,5,2,5,2,3,3,3,3,2,6,5,3,3,4,22,2,3,5,2
4,5,3,3,5,4,4,5,4,4,3,5,4,3,5,5,4,3,4,24,1,3,5,2
5,1,5,5,1,6,1,7,1,1,4,1,2,1,4,3,1,1,4,24,2,3,5,2
4,2,4,5,2,3,2,5,2,2,4,2,5,1,4,4,3,3,4,21,2,3,4,1
4,3,6,5,2,4,4,4,3,2,3,6,4,4,4,5,4,2,3,51,1,1,3,2
6,4,6,4,2,5,1,3,2,1,3,3,2,1,7,3,1,3,3,27,2,1,4,2
5,2,5,6,4,3,1,4,1,4,4,3,1,1,7,7,5,1,6,23,2,3,5,2
6,1,6,6,1,5,1,2,1,1,4,2,2,2,7,6,2,6,6,63,1,1,4,2
5,1,6,6,1,6,1,7,1,3,3,4,7,1,5,6,1,5,7,22,2,3,5,2
6,2,6,6,2,5,2,4,1,3,4,3,5,4,6,6,3,4,6,26,1,3,5,2
7,1,7,7,1,6,1,1,1,1,4,2,2,2,7,6,2,2,4,22,2,3,5,2
4,3,5,4,2,5,2,6,2,4,4,3,4,3,6,5,3,3,5,50,2,2,4,2
5,1,5,4,1,5,1,7,1,1,4,1,7,2,7,3,1,3,2,28,1,1,4,2
3,2,4,4,2,4,2,4,2,1,2,2,6,2,6,6,4,4,4,55,2,2,4,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24,2,3,5,1
5,1,6,5,6,6,1,3,2,3,2,4,4,4,4,4,4,4,4,24,2,3,5,2
2,3,7,6,1,6,2,4,3,4,4,3,3,1,6,6,2,2,4,24,2,3,5,2
5,1,5,6,1,4,1,3,1,1,4,3,1,1,7,4,1,1,4,24,2,3,5,2
4,2,5,5,1,4,1,3,2,2,3,1,4,3,3,5,3,4,5,20,1,NA,NA,2
4,2,5,4,4,5,2,4,1,4,4,4,3,4,5,5,4,5,5,19,2,NA,NA,2
5,2,4,5,2,4,1,4,2,4,4,2,4,4,5,4,4,4,4,18,2,NA,NA,2
5,4,6,6,2,5,2,4,2,4,4,2,4,3,5,5,3,3,5,20,2,NA,NA,2
4,5,5,5,4,5,4,4,5,4,4,5,3,4,7,4,5,5,4,18,2,NA,NA,2
5,4,4,4,3,4,2,3,4,4,4,3,4,4,5,3,3,4,4,18,2,NA,NA,2
4,5,5,5,3,5,4,4,4,4,3,4,4,4,4,4,3,4,3,20,2,NA,NA,2
6,1,7,6,1,6,1,3,1,3,5,4,5,3,6,5,3,3,4,20,2,NA,NA,1
6,2,5,6,2,5,1,3,2,3,4,5,3,2,7,6,2,4,4,18,2,NA,NA,2
5,5,6,5,4,6,3,4,4,4,3,6,4,2,6,5,4,5,4,18,2,NA,NA,2
4,4,5,5,4,5,4,4,4,4,3,5,3,3,5,3,3,4,4,19,2,NA,NA,2
4,1,6,4,1,3,1,5,2,3,4,2,4,2,6,5,2,4,4,19,2,NA,NA,2
3,5,5,3,4,4,3,4,3,5,3,2,5,4,5,3,4,5,3,20,2,NA,NA,2
6,1,7,7,1,7,1,5,1,1,5,1,2,2,3,5,1,4,5,20,1,NA,NA,2
3,3,2,3,3,2,3,7,5,4,1,4,6,4,5,3,6,6,4,22,1,NA,NA,2
5,6,3,3,3,5,3,4,5,5,2,2,3,2,6,4,3,3,5,18,2,NA,NA,2
7,1,7,6,1,6,1,3,1,1,5,1,1,1,5,6,2,1,5,18,2,NA,NA,2
4,5,4,4,4,4,4,6,4,5,3,4,5,4,5,4,3,4,3,20,2,NA,NA,2
5,5,6,5,4,7,5,5,5,4,1,1,5,2,4,5,2,2,3,24,1,NA,NA,2
3,3,4,3,3,4,2,3,2,2,2,3,4,2,4,4,2,4,4,20,2,NA,NA,2
3,4,3,3,1,4,1,5,3,4,2,4,5,2,7,4,6,6,5,19,1,NA,NA,2
4,1,3,3,1,3,1,7,1,1,1,1,1,1,7,4,1,1,6,23,2,NA,NA,2
5,4,6,5,4,6,2,4,2,3,3,4,4,3,7,4,4,4,4,18,2,NA,NA,2
4,3,5,4,3,4,1,4,2,3,3,3,3,2,5,4,4,2,3,21,2,NA,NA,2
6,1,6,6,1,5,1,7,1,1,1,1,1,2,7,7,1,1,4,20,2,NA,NA,2
2,5,3,3,4,4,1,5,4,1,1,5,7,2,7,5,3,2,2,20,2,NA,NA,2
3,3,4,5,2,4,3,5,5,5,3,2,5,3,3,5,2,4,4,18,2,NA,NA,2
4,6,5,5,4,5,4,3,1,2,2,5,2,5,5,4,5,5,3,24,2,NA,NA,2
5,6,5,5,4,6,2,4,2,4,3,5,7,3,5,NA,2,3,5,25,2,NA,NA,1
5,2,5,6,1,6,1,3,1,1,4,7,2,1,7,6,1,1,6,28,1,NA,NA,2
5,2,3,3,3,2,2,5,2,2,3,2,3,2,7,5,6,2,5,21,1,NA,NA,2
3,5,3,4,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,19,2,NA,NA,1
5,3,5,6,2,5,2,4,2,4,3,2,2,2,7,5,1,2,5,19,2,NA,NA,2
4,1,5,5,1,4,1,7,1,1,4,1,5,1,5,5,2,3,4,18,2,NA,NA,2
6,2,5,5,1,5,1,3,1,3,3,3,5,3,6,5,3,5,5,20,1,NA,NA,2
7,1,7,7,1,7,1,1,1,1,4,1,1,1,7,7,1,1,7,19,2,NA,NA,2
6,1,6,6,1,6,1,2,1,1,5,1,3,1,7,7,2,1,7,21,2,NA,NA,2
5,4,5,6,2,5,1,4,4,3,4,5,3,2,5,6,2,3,4,21,2,NA,NA,1
4,3,5,5,4,5,1,4,4,4,3,4,5,2,7,5,3,5,5,20,2,NA,NA,2
3,5,3,3,4,3,3,4,2,5,2,3,3,1,7,5,1,2,4,18,2,NA,NA,2
4,1,5,2,1,5,2,3,1,2,2,5,2,1,7,6,1,2,4,22,2,NA,NA,2
4,1,6,4,1,5,1,4,1,4,4,1,4,1,7,4,4,4,4,20,2,NA,NA,2
4,3,4,4,3,3,3,4,3,3,4,3,4,3,5,4,3,4,4,26,2,NA,NA,1
2,6,3,3,5,3,6,5,3,6,2,3,4,3,5,6,5,3,3,29,2,NA,NA,2
5,4,5,5,4,5,4,4,4,4,4,4,5,3,5,4,4,3,5,20,2,NA,NA,2
5,3,5,6,1,3,1,4,2,3,4,4,4,2,5,5,2,3,5,21,2,NA,NA,1
6,3,7,1,1,6,1,2,2,4,2,6,4,1,7,6,4,5,5,18,2,NA,NA,2
6,1,6,6,1,5,1,3,1,1,5,1,1,1,7,7,1,1,7,30,2,NA,NA,1
5,6,6,4,3,5,1,4,4,4,2,6,2,2,7,6,3,1,5,20,2,NA,NA,2
4,3,4,5,1,4,1,4,1,3,4,2,1,1,7,5,1,4,5,19,2,NA,NA,2
4,2,1,4,1,4,1,6,1,2,4,1,1,4,7,7,1,2,6,26,1,NA,NA,2
5,3,4,4,3,4,3,4,3,3,4,3,4,3,6,5,4,3,4,22,1,NA,NA,2
5,2,5,6,1,5,1,4,1,3,3,3,2,2,7,5,1,2,6,18,2,NA,NA,2
4,1,5,4,1,4,1,3,1,1,4,1,1,1,7,6,1,1,5,18,2,NA,NA,1
1,7,1,1,1,1,3,7,3,1,1,1,3,3,3,3,3,3,3,22,2,NA,NA,1
4,4,4,4,4,4,4,4,4,4,4,4,5,4,7,5,5,4,4,24,1,NA,NA,1
4,4,5,4,2,5,1,4,2,4,3,2,7,1,7,5,5,4,7,21,1,NA,NA,2
6,1,6,5,1,6,1,2,1,1,4,1,1,1,7,6,2,2,4,20,1,NA,NA,2
5,3,5,5,4,5,4,4,4,4,3,2,4,3,5,5,3,2,2,21,2,NA,NA,1
4,1,4,4,1,2,1,4,1,1,1,1,4,5,7,5,3,4,4,19,2,NA,NA,2
4,5,4,2,6,2,2,4,4,4,2,6,5,4,6,1,4,2,2,21,2,NA,NA,2
2,4,4,2,2,4,4,5,3,4,2,2,5,5,7,3,5,4,3,19,2,NA,NA,2
5,1,4,5,1,2,1,4,1,1,2,3,2,1,5,5,1,2,6,18,1,NA,NA,2
5,2,6,5,2,4,1,3,1,1,4,5,3,1,7,6,2,3,4,18,2,NA,NA,2
5,1,5,5,1,5,1,3,1,1,1,1,3,2,7,5,4,4,3,18,1,NA,NA,2
5,2,5,3,2,1,1,5,2,1,4,3,3,3,6,4,2,5,1,21,1,NA,NA,2
5,4,5,5,2,5,2,3,3,3,3,6,3,5,6,5,3,3,5,18,2,NA,NA,2
6,1,6,6,2,4,1,4,2,1,2,5,2,1,7,NA,2,1,4,20,1,NA,NA,2
6,2,6,6,1,5,1,4,1,4,4,4,1,1,7,7,2,4,6,19,2,NA,NA,1
5,3,5,4,2,5,2,3,2,4,3,2,5,3,7,5,5,4,2,20,2,NA,NA,2
5,4,5,5,3,2,3,4,3,3,5,2,6,2,6,5,2,4,5,20,1,NA,NA,2
6,2,6,6,2,6,2,2,2,2,2,2,4,3,7,5,2,2,4,19,2,NA,NA,2
5,2,3,5,1,4,1,5,1,1,3,2,4,4,6,5,3,3,5,18,2,NA,NA,2
4,5,6,4,4,5,4,4,4,4,4,4,5,4,5,4,4,5,4,29,1,NA,NA,1
6,2,5,5,1,4,1,3,1,4,4,1,7,1,7,6,1,2,2,21,2,NA,NA,2
1,1,3,4,1,2,1,5,1,1,1,1,3,2,7,3,4,2,4,23,1,NA,NA,2
5,4,4,6,2,5,1,4,2,3,2,5,5,2,6,5,3,3,3,19,2,NA,NA,2
5,2,6,6,1,3,1,4,2,4,4,1,4,1,5,6,1,1,6,20,1,NA,NA,2
5,1,5,5,1,5,1,4,1,4,4,4,1,2,7,5,1,1,6,23,2,NA,NA,2
4,1,7,2,1,4,1,3,1,1,2,3,2,1,7,7,1,3,2,19,2,NA,NA,2
3,2,2,2,1,2,2,6,2,2,2,2,5,3,5,4,3,2,4,19,2,NA,NA,2
5,1,7,7,1,6,1,1,1,1,4,2,7,3,7,7,2,1,3,19,2,NA,NA,2
5,2,4,5,2,5,2,4,3,4,4,3,4,2,4,4,4,3,5,20,2,NA,NA,2
6,1,6,6,1,5,1,2,1,1,5,2,3,1,4,6,1,1,7,21,2,NA,NA,1
1,1,1,1,1,1,1,7,1,1,1,1,7,1,7,1,7,7,1,22,1,NA,NA,2
3,5,5,4,5,5,4,5,5,6,2,3,2,3,7,3,4,3,2,19,2,NA,NA,2
5,6,5,7,4,5,1,3,1,6,4,4,2,1,5,5,2,3,6,20,1,NA,NA,2
6,1,4,7,1,5,1,5,1,1,6,1,1,1,7,7,1,1,7,21,2,NA,NA,1
4,1,4,4,1,4,1,4,1,1,1,1,4,2,4,4,4,4,5,39,2,NA,NA,2
6,1,6,6,1,5,1,2,1,1,6,1,4,1,4,5,1,1,5,20,2,NA,NA,2
5,6,5,5,5,5,2,3,3,5,3,3,5,3,5,5,4,4,5,22,1,NA,NA,2
6,1,6,6,1,6,1,1,1,1,4,4,5,1,5,3,4,5,4,23,1,NA,NA,1
7,1,1,1,1,7,1,7,1,1,1,1,1,1,7,7,1,1,7,25,2,NA,NA,2
6,2,5,6,2,6,2,3,2,2,3,3,5,3,6,6,1,3,5,21,2,NA,NA,2
4,5,5,4,3,4,1,6,3,3,4,2,5,2,6,4,3,2,2,20,2,NA,NA,2
5,2,5,5,1,4,1,4,1,2,2,2,7,2,7,4,5,3,3,20,2,NA,NA,1
6,3,6,6,1,6,1,3,2,3,2,2,4,1,7,5,3,1,5,21,2,NA,NA,2
